"","Age","mat1","growth","Vul1","M_G","M_P","FISH","SURVM_G","SURVM_P","SurvshipM_G","SurvshipM_P","egg_productionM_G","egg_productionM_P","codNames"
"1",1,0.00901329865284782,0.148485242396292,0.00901329865284782,0.427,0.252,0,0.6524635522279,0.777244738068946,1,1,0.148485242396292,0.148485242396292,"Northsea"
"2",2,0.0483376287199052,0.87310074848673,0.0483376287199052,0.427,0.252,0,0.6524635522279,0.777244738068946,0.6524635522279,0.777244738068946,0.569666415810491,0.67861296256537,"Northsea"
"3",3,0.220973892220188,2.19125103214531,0.220973892220188,0.427,0.252,0,0.6524635522279,0.777244738068946,0.42570868698585,0.604109382855865,0.932834599750969,1.32375530871158,"Northsea"
"4",4,0.613014176139336,3.90720871811454,0.613014176139336,0.427,0.252,0,0.6524635522279,0.777244738068946,0.277759402125063,0.469540839042799,1.08526395752133,1.83459405981884,"Northsea"
"5",5,0.898439072102363,5.80602477518809,0.898439072102363,0.427,0.252,0,0.6524635522279,0.777244738068946,0.181227886175217,0.364948146454494,1.05221359708827,2.11889797997376,"Northsea"
"6",6,0.980159694265923,7.71842250762277,0.980159694265923,0.427,0.252,0,0.6524635522279,0.777244738068946,0.118244590376635,0.28365402649977,0.912661707767657,2.18936162251365,"Northsea"
"7",7,0.996388449465568,9.5319186254484,0.996388449465568,0.427,0.252,0,0.6524635522279,0.777244738068946,0.0771502854688725,0.220468599529016,0.735390243019407,2.10148875017715,"Northsea"
"8",8,0.999351370472389,11.1825079891629,0.999351370472389,0.427,0.252,0,0.6524635522279,0.777244738068946,0.0503377493124171,0.171358058893357,0.562902283842585,1.91621286258242,"Northsea"
"9",9,0.999883790529625,12.641670338567,0.999883790529625,0.427,0.252,0,0.6524635522279,0.777244738068946,0.0328435467275372,0.133187149600571,0.415197290478847,1.68370803858382,"Northsea"
"10",10,0.999979188832398,13.9043786149305,0.999979188832398,0.427,0.252,0,0.6524635522279,0.777244738068946,0.021429217165612,0.103519011205445,0.297959948892237,1.43936752564374,"Northsea"
"11",1,0.00849286285164435,0.0210325342332828,0.00849286285164435,0.316,0.151,0,0.729059450167624,0.859847698659206,1,1,0.0210325342332828,0.0210325342332828,"Coas"
"12",2,0.0253327032268717,0.143315320894708,0.0253327032268717,0.316,0.151,0,0.729059450167624,0.859847698659206,0.729059450167624,0.859847698659206,0.104485389052092,0.12322934885392,"Coas"
"13",3,0.0731011734223782,0.413226213117691,0.0731011734223782,0.316,0.151,0,0.729059450167624,0.859847698659206,0.531527681878718,0.739338064889532,0.219641171149967,0.305513868768063,"Coas"
"14",4,0.193098684233216,0.839328611980557,0.193098684233216,0.316,0.151,0,0.729059450167624,0.859847698659206,0.38751527949937,0.635718133626414,0.325252661663464,0.533576418707529,"Coas"
"15",5,0.420675747851251,1.4089351903869,0.420675747851251,0.316,0.151,0,0.729059450167624,0.859847698659206,0.282521676603364,0.546620774194598,0.398054732213587,0.770153244559302,"Coas"
"16",6,0.68783133058284,2.09873539678154,0.68783133058284,0.316,0.151,0,0.729059450167624,0.859847698659206,0.205975098204883,0.470010614730538,0.432287229458144,0.986427913998034,"Coas"
"17",7,0.869891525637002,2.88141945633975,0.869891525637002,0.316,0.151,0,0.729059450167624,0.859847698659206,0.150168091845475,0.404137545421452,0.432697261564965,1.16448978641476,"Coas"
"18",8,0.953023854321717,3.72963499691335,0.953023854321717,0.316,0.151,0,0.729059450167624,0.859847698659206,0.109481466473583,0.347496738372415,0.40832590887327,1.296035996747,"Coas"
"19",9,0.984015151657797,4.61819418217237,0.984015151657797,0.316,0.151,0,0.729059450167624,0.859847698659206,0.0798184977507755,0.298794270781101,0.36861732194237,1.37988996298772,"Coas"
"20",10,0.994674982314258,5.52515708880298,0.994674982314258,0.316,0.151,0,0.729059450167624,0.859847698659206,0.0581924300833861,0.256917566103685,0.321522317589892,1.41950991159579,"Coas"
"21",1,0.158424178844956,0.0295318339033666,0.158424178844956,0.584,0.192,0,0.557663246319791,0.825306868491682,1,1,0.0295318339033666,0.0295318339033666,"W_Baltic"
"22",2,0.30576365989197,0.190250179503715,0.30576365989197,0.584,0.192,0,0.557663246319791,0.825306868491682,0.557663246319791,0.825306868491682,0.106095532714965,0.157014779876191,"W_Baltic"
"23",3,0.50749943755062,0.519966097316774,0.50749943755062,0.584,0.192,0,0.557663246319791,0.825306868491682,0.310988296295928,0.681131427179547,0.161703370736186,0.354165249950354,"W_Baltic"
"24",4,0.706822221093568,1.00365706548493,0.706822221093568,0.584,0.192,0,0.557663246319791,0.825306868491682,0.173426742879848,0.562142445196822,0.174060975835399,0.564198236930768,"W_Baltic"
"25",5,0.849412420254156,1.60512414836635,0.849412420254156,0.584,0.192,0,0.557663246319791,0.825306868491682,0.096713720433044,0.463940021091647,0.155237528145431,0.744681331247797,"W_Baltic"
"26",6,0.929563269107183,2.28360462631463,0.929563269107183,0.584,0.192,0,0.557663246319791,0.825306868491682,0.053933687300356,0.382892885975112,0.1231632178333,0.874375965795726,"W_Baltic"
"27",7,0.968629067751806,3.00176380072792,0.968629067751806,0.584,0.192,0,0.557663246319791,0.825306868491682,0.0300768351459131,0.316004128691862,0.090283554981463,0.948569754387799,"W_Baltic"
"28",8,0.986346340902649,3.72890358773022,0.986346340902649,0.584,0.192,0,0.557663246319791,0.825306868491682,0.0167727455264951,0.260800377881124,0.0625439509698335,0.972499464762319,"W_Baltic"
"29",9,0.994118239319079,4.44164438901606,0.994118239319079,0.584,0.192,0,0.557663246319791,0.825306868491682,0.00935354372000099,0.215240343170517,0.0415451149813589,0.956021062533221,"W_Baltic"
"30",10,0.99747755253923,5.12337869583449,0.99747755253923,0.584,0.192,0,0.557663246319791,0.825306868491682,0.00521612755548985,0.177639333595135,0.0267241967925519,0.91011357728355,"W_Baltic"
"31",11,0.998920308875313,5.76322104913456,0.998920308875313,0.584,0.192,0,0.557663246319791,0.825306868491682,0.00290884262581259,0.14660696213035,0.0167643030497029,0.844928330099306,"W_Baltic"
"32",1,0.0373268873441295,0.0788024211703317,0.0373268873441295,0.565,0.224,0,0.568360146757541,0.799315134369365,1,1,0.0788024211703317,0.0788024211703317,"Faroe"
"33",2,0.165204870190615,0.480536145236908,0.165204870190615,0.565,0.224,0,0.568360146757541,0.799315134369365,0.568360146757541,0.799315134369365,0.273117594029152,0.384099813499376,"Faroe"
"34",3,0.502499979166875,1.24734497321573,0.502499979166875,0.565,0.224,0,0.568360146757541,0.799315134369365,0.323033256422253,0.638904684031916,0.402933908579804,0.796934545991192,"Faroe"
"35",4,0.837534937419304,2.29427298780769,0.837534937419304,0.565,0.224,0,0.568360146757541,0.799315134369365,0.183599229027718,0.510686183366188,0.42122675174061,1.17165351574365,"Faroe"
"36",5,0.96338517172551,3.50772277631062,0.96338517172551,0.565,0.224,0,0.568360146757541,0.799315134369365,0.104350484754765,0.408199195277923,0.366032572093343,1.43184961454803,"Faroe"
"37",6,0.992608458655718,4.78593689762984,0.992608458655718,0.565,0.224,0,0.568360146757541,0.799315134369365,0.0593086568294388,0.326279794623039,0.283847489068877,1.56155450803749,"Faroe"
"38",7,0.998543119747025,6.05176188187619,0.998543119747025,0.565,0.224,0,0.568360146757541,0.799315134369365,0.0337086768995724,0.260800377881124,0.203996885949313,1.57830178563989,"Faroe"
"39",8,0.999714219299158,7.25315855577534,0.999714219299158,0.565,0.224,0,0.568360146757541,0.799315134369365,0.0191586685496435,0.208461689089632,0.138960860708111,1.51200568377184,"Faroe"
"40",9,0.999943994239549,8.35908437513538,0.999943994239549,0.565,0.224,0,0.568360146757541,0.799315134369365,0.0108890236685545,0.166626583025544,0.0910222676082929,1.39284566665102,"Faroe"
"41",10,0.999989026321033,9.35430126444431,0.999989026321033,0.565,0.224,0,0.568360146757541,0.799315134369365,0.00618888709030594,0.133187149600571,0.057892714334352,1.24587272191635,"Faroe"
"42",1,0.00147150059738953,0.0264991326321338,0.00147150059738953,0.196,0.112,0,0.822012234678187,0.894044257500357,1,1,0.0264991326321338,0.0264991326321338,"NE_Arctic"
"43",2,0.00372112934290421,0.180820841377921,0.00372112934290421,0.196,0.112,0,0.822012234678187,0.894044257500357,0.822012234678187,0.894044257500357,0.148636943897455,0.161661834870313,"NE_Arctic"
"44",3,0.00937768886267686,0.522078586062962,0.00937768886267686,0.196,0.112,0,0.822012234678187,0.894044257500357,0.675704113960626,0.799315134369365,0.35277064841349,0.417305315170285,"NE_Arctic"
"45",4,0.0234306676736703,1.06181456567862,0.0234306676736703,0.196,0.112,0,0.822012234678187,0.894044257500357,0.555437048698018,0.714623105816057,0.589771148625102,0.758797222725985,"NE_Arctic"
"46",5,0.0573241758988688,1.78464967945376,0.0573241758988688,0.196,0.112,0,0.822012234678187,0.894044257500357,0.456576049623315,0.638904684031916,0.814828300606514,1.14022103955907,"NE_Arctic"
"47",6,0.133541722533212,2.66159448129642,0.133541722533212,0.196,0.112,0,0.822012234678187,0.894044257500357,0.375311098851399,0.571209063848815,0.99892594947218,1.5203268920065,"NE_Arctic"
"48",7,0.280900342583616,3.65839124975742,0.280900342583616,0.196,0.112,0,0.822012234678187,0.894044257500357,0.308510315066365,0.510686183366188,1.12865143709869,1.86828986459887,"NE_Arctic"
"49",8,0.497500020833125,4.74053150832982,0.497500020833125,0.196,0.112,0,0.822012234678187,0.894044257500357,0.253599253508974,0.456576049623315,1.20219525174821,2.16441314918808,"NE_Arctic"
"50",9,0.71504210570099,5.87608280185715,0.71504210570099,0.196,0.112,0,0.822012234678187,0.894044257500357,0.208461689089631,0.408199195277923,1.22493814610568,2.39861227110453,"NE_Arctic"
"51",10,0.864127102990906,7.03710069787804,0.864127102990906,0.196,0.112,0,0.822012234678187,0.894044257500357,0.171358058893357,0.364948146454494,1.20586391582547,2.56817685610421,"NE_Arctic"
"52",11,0.941585444457604,8.20015221798967,0.941585444457604,0.196,0.112,0,0.822012234678187,0.894044257500357,0.140858420921045,0.326279794623039,1.15506049273823,2.67554398156333,"NE_Arctic"
"53",12,0.976107310589417,9.34630343895391,0.976107310589417,0.196,0.112,0,0.822012234678187,0.894044257500357,0.115787345354549,0.291708576721124,1.08218366407456,2.72639687378099,"NE_Arctic"
"54",1,0.0497365115585567,0.326801255412984,0.0497365115585567,0.719,0.45,0,0.487239251673205,0.637628151621773,1,1,0.326801255412984,0.326801255412984,"Celtic"
"55",2,0.336261302595647,1.54144165112342,0.336261302595647,0.719,0.45,0,0.487239251673205,0.637628151621773,0.487239251673205,0.637628151621773,0.751050876591285,0.982866590838641,"Celtic"
"56",3,0.830616103065981,3.18243688732116,0.830616103065981,0.719,0.45,0,0.487239251673205,0.637628151621773,0.237402088371065,0.406569659740599,0.755517163159155,1.29388228242409,"Celtic"
"57",4,0.979366702773094,4.78148091935681,0.979366702773094,0.719,0.45,0,0.487239251673205,0.637628151621773,0.115671615883574,0.259240260645892,0.553081624258479,1.23955235980742,"Celtic"
"58",5,0.997828146254796,6.12281587869697,0.997828146254796,0.719,0.45,0,0.487239251673205,0.637628151621773,0.056359751562943,0.165298888221587,0.345080381789003,1.01209465753409,"Celtic"
"59",6,0.999775183229767,7.16042142562702,0.999775183229767,0.719,0.45,0,0.487239251673205,0.637628151621773,0.0274606831760161,0.105399224561864,0.196630064175901,0.754702865797247,"Celtic"
"60",7,0.999976769006201,7.92564853605367,0.999976769006201,0.719,0.45,0,0.487239251673205,0.637628151621773,0.0133799227211171,0.0672055127397498,0.106044564927133,0.532647273660534,"Celtic"
"61",8,0.999997599905389,8.4735431667082,0.999997599905389,0.719,0.45,0,0.487239251673205,0.637628151621773,0.00651922353408239,0.0428521268670402,0.0552409220294672,0.363109346793121,"Celtic"
"62",9,0.99999975204046,8.85848066466334,0.99999975204046,0.719,0.45,0,0.487239251673205,0.637628151621773,0.00317642159623665,0.0273237224472926,0.0281382692930815,0.242046666985969,"Celtic"
"63",10,0.999999974382754,9.12561529534812,0.999999974382754,0.719,0.45,0,0.487239251673205,0.637628151621773,0.00154767728154896,0.0174223746394935,0.0141235074727659,0.158989888491447,"Celtic"
"64",1,0.00333480730741334,0.0489649351841283,0.00333480730741334,0.229,0.138,0,0.795328533505094,0.871098691745798,1,1,0.0489649351841283,0.0489649351841283,"Iceland"
"65",2,0.00892441520843131,0.328498740571749,0.00892441520843131,0.229,0.138,0,0.795328533505094,0.871098691745798,0.795328533505094,0.871098691745798,0.2612644215972,0.286154823152193,"Iceland"
"66",3,0.0236605781554612,0.933148613594655,0.0236605781554612,0.229,0.138,0,0.795328533505094,0.871098691745798,0.632547476207363,0.758812930761241,0.590260800455699,0.708085234317549,"Iceland"
"67",4,0.061226162819908,1.86848395970344,0.061226162819908,0.229,0.138,0,0.795328533505094,0.871098691745798,0.50308305662435,0.661000951265913,0.940002621701176,1.23506967478907,"Iceland"
"68",5,0.149312934530844,3.09394620071806,0.149312934530844,0.229,0.138,0,0.795328533505094,0.871098691745798,0.400116309656305,0.575797063890465,1.23793833610645,1.78148513820852,"Iceland"
"69",6,0.320821300824607,4.5489442510525,0.320821300824607,0.229,0.138,0,0.795328533505094,0.871098691745798,0.318223917790419,0.501576069066056,1.44758286138013,2.28164157584355,"Iceland"
"70",7,0.559713649267193,6.16813009815526,0.559713649267193,0.229,0.138,0,0.795328533505094,0.871098691745798,0.253092561862499,0.436922257574441,1.56110784844331,2.69499332749886,"Iceland"
"71",8,0.773818574269454,7.88979891499576,0.773818574269454,0.229,0.138,0,0.795328533505094,0.871098691745798,0.201291736067149,0.380602406967716,1.5881513208202,3.00287645753866,"Iceland"
"72",9,0.902031195702446,9.66001382514682,0.902031195702446,0.229,0.138,0,0.795328533505094,0.871098691745798,0.16009306125298,0.33154225878488,1.54650118501386,3.20270280348234,"Iceland"
"73",10,0.961208865539764,11.4341516408181,0.961208865539764,0.229,0.138,0,0.795328533505094,0.871098691745798,0.127326579630674,0.288806027885956,1.45587141940383,3.30225191763036,"Iceland"
"74",11,0.985225968306727,13.1769617328206,0.985225968306727,0.229,0.138,0,0.795328533505094,0.871098691745798,0.101266461853883,0.251578553059757,1.33438429266676,3.3150409664668,"Iceland"
"75",12,0.994458868408073,14.8618291439037,0.994458868408073,0.229,0.138,0,0.795328533505094,0.871098691745798,0.0805401065994986,0.219149748441655,1.19697330351354,3.25696611826935,"Iceland"
"76",13,0.997933849959954,16.4696691281293,0.997933849959954,0.229,0.138,0,0.795328533505094,0.871098691745798,0.0640558448701231,0.190901059163946,1.05497857073371,3.14407728063964,"Iceland"
"77",14,0.999231268671258,17.9877084830888,0.999231268671258,0.229,0.138,0,0.795328533505094,0.871098691745798,0.0509454411629848,0.166293662890601,0.916391744182121,2.99124193066116,"Iceland"
"78",1,0.0567861808087885,0.0209714204837794,0.0567861808087885,0.913,0.168,0,0.401318460910542,0.845353834684659,1,1,0.0209714204837794,0.0209714204837794,"Kat"
"79",2,0.35205919791935,0.13892513147219,0.35205919791935,0.913,0.168,0,0.401318460910542,0.845353834684659,0.401318460910542,0.845353834684659,0.055753219944214,0.117440892624086,"Kat"
"80",3,0.830616103065981,0.389893531063574,0.830616103065981,0.913,0.168,0,0.401318460910542,0.845353834684659,0.161056507067606,0.714623105816057,0.0627948902413545,0.278626926106241,"Kat"
"81",4,0.97790367784663,0.771746111518246,0.97790367784663,0.913,0.168,0,0.401318460910542,0.845353834684659,0.0646349495359995,0.604109382855865,0.0498817709725857,0.466219067150701,"Kat"
"82",5,0.997502588628866,1.26394101643745,0.997502588628866,0.913,0.168,0,0.401318460910542,0.845353834684659,0.0259391984688179,0.510686183366188,0.0327856168782504,0.645477213684422,"Kat"
"83",6,0.999722663052879,1.83903249553153,0.999722663052879,0.913,0.168,0,0.401318460910542,0.845353834684659,0.0104098792067591,0.43171052342908,0.0191441061357879,0.793929681249004,"Kat"
"84",7,0.999969262610269,2.46904385031621,0.999969262610269,0.913,0.168,0,0.401318460910542,0.845353834684659,0.0041776767015212,0.364948146454494,0.0103148669685003,0.901072976687769,"Kat"
"85",8,0.999996594107049,3.12870639989706,0.999996594107049,0.913,0.168,0,0.401318460910542,0.845353834684659,0.00167657878403632,0.308510315066365,0.00524552277154607,0.965238197182395,"Kat"
"86",1,0.0452174734832875,0.0374185208167936,0.0452174734832875,0.941,0.23,0,0.390237402771992,0.794533602503334,1,1,0.0374185208167936,0.0374185208167936,"W_Scotland"
"87",2,0.42067574785125,0.237744628942688,0.42067574785125,0.941,0.23,0,0.390237402771992,0.794533602503334,0.390237402771992,0.794533602503334,0.0927768465215856,0.188896096509653,"W_Scotland"
"88",3,0.917586681872087,0.641332629176746,0.917586681872087,0.941,0.23,0,0.390237402771992,0.794533602503334,0.15228523052223,0.631283645506926,0.0976654872756085,0.404862800129238,"W_Scotland"
